Filename,Science_Mean,Science_Std,Reference_Mean,Reference_Std,Diff_Mean,Diff_Std,SNR,Result
SN 2023ffg.fits,214.40472,193.35295,5390.8447,969.6902,5176.634,897.7242,12.168715, Good triplet
SN 2023qyr.fits,188.37494,20.738506,2338.14,693.565,2145.1074,609.99347,1.1354308, Moderate triplet
SN 2018cnw.fits,191.63644,89.38057,2264.427,1216.7877,2057.9114,1037.3168,17.3364, Good triplet
SN 2016hnk.fits,192.57185,151.79451,1806.5913,1079.8297,1614.1184,1029.4344,9.255482, Good triplet
SN 2023aiw.fits,192.71866,95.9907,2240.0317,1334.1377,2040.4944,1238.689,3.9472322, Moderate triplet
SN 2021kdz.fits,190.9691,100.349945,1774.4896,750.07416,1575.543,598.4764,1.0216364, Moderate triplet
SN 2023acgf.fits,196.51381,70.57805,2722.3735,1692.4541,2521.0107,1631.8129,1.6092737, Moderate triplet
SN 2021J.fits,208.20808,159.07558,3018.3665,3038.1506,2810.158,2950.3926,5.2198977, Good triplet
SN 2019ikb.fits,189.70932,103.65131,1735.7471,852.57367,1546.039,813.2851,3.1909103, Moderate triplet
SN 2019bnh.fits,187.9291,51.20407,2539.8894,568.411,2343.6113,408.2822,1.8495613, Moderate triplet
SN 2021drp.fits,189.24321,84.23289,1741.0232,511.99347,1551.7633,469.4509,9.983369, Good triplet
SN 2018ibb.fits,189.22008,55.05814,1900.4362,842.6151,1711.2163,811.28033,2.8360832, Moderate triplet
SN 2017jyl.fits,nan,nan,2216.4617,1636.5493,nan,nan,0, Poor triplet
SN2021koj.fits,192.56511,159.86905,1901.1593,953.6798,1701.3251,830.22925,1.1414626, Moderate triplet
SN 2017cw.fits,186.56451,46.04357,4844.3857,962.3144,4657.8213,947.4214,18.59249, Good triplet
SN 2020alh.fits,nan,nan,3372.1565,2260.194,nan,nan,0, Poor triplet
SN 2020abla.fits,196.6017,120.817116,2609.205,1731.3198,2405.7083,1649.0895,9.954743, Good triplet
SN2017mf.fits,189.05533,49.12214,1986.7559,888.42114,1791.941,796.2304,4.814824, Moderate triplet
SN 2022mxv.fits,192.065,89.552505,2257.837,1304.937,2065.8752,1264.1768,10.16606, Good triplet
SN 2019yvq.fits,190.44716,41.82876,2027.8678,880.4149,1837.4427,854.6199,10.974957, Good triplet
SN 2021gmk.fits,nan,nan,1953.9058,791.50885,nan,nan,0, Poor triplet
SN 2021wyw.fits,195.02478,53.402027,2725.4668,1207.5668,2530.4417,1174.1725,11.718353, Good triplet
SN 2021bqv.fits,189.8344,53.866924,1961.7991,954.4614,1766.1826,862.3295,8.998485, Good triplet
SN 2018cyh.fits,190.83197,73.713326,2274.5818,854.1531,2083.75,809.23267,6.0290046, Good triplet
SN 2018bsz.fits,nan,nan,2612.2734,1607.2913,nan,nan,0, Poor triplet
SN 2022aedu.fits,192.27649,94.30212,2252.573,1315.5135,2060.4004,1272.4282,2.96803, Moderate triplet
SN 2021aasi.fits,192.29442,203.9249,2034.8787,789.2144,1835.3813,618.03046,14.757615, Good triplet
